code,Response
100,Trying
180,Ringing
181,Call Is Being Forwarded
182,Queued
183,Session Progress
199,Informational - Others
200,OK
202,Accepted
204,No Notification
299,Success - Others
300,Multiple Choices
301,Moved Permanently
302,Moved Temporarily
305,Use Proxy
380,Alternative Service
399,Redirection - Others
400,Bad Request
401,Unauthorized
402,Payment Required
403,Forbidden
404,Not Found
405,Method Not Allowed
406,Not Acceptable
407,Proxy Authentication Required
408,Request Timeout
410,Gone
412,Conditional Request Failed
413,Request Entity Too Large
414,Request-URI Too Long
415,Unsupported Media Type
416,Unsupported URI Scheme
420,Bad Extension
421,Extension Required
422,Session Timer Too Small
423,Interval Too Brief
428,Use Identity Header
429,Provide Referrer Identity
430,Flow Failed
433,Anonymity Disallowed
436,Bad Identity-Info
437,Unsupported Certificate
438,Invalid Identity Header
439,First Hop Lacks Outbound Supp
440,Max-Breadth Exceeded
470,Consent Needed
480,Temporarily Unavailable
481,Call/Transaction Does Not Exi
482,Loop Detected
483,Too Many Hops
484,Address Incomplete
485,Ambiguous
486,Busy Here
487,Request Terminated
488,Not Acceptable Here
489,Bad Event
491,Request Pending
493,Undecipherable
494,Security Agreement Required
499,Client Error - Others
500,Server Internal Error
501,Not Implemented
502,Bad Gateway
503,Service Unavailable
504,Server Time-out
505,Version Not Supported
513,Message Too Large
599,Server Error - Others
600,Busy Everywhere
603,Decline
604,Does Not Exist Anywhere
606,Not Acceptable
607,Unwanted
608,Rejected
699,Global Failure - Others